CODIGO,DESCRIPCION,ESPECIFICACION,COSTO,SUGERIDO,DESFASE,PUBLICO,PRECIO2,PRECIO3,PRECIO4,CodigoBarras,MARCA,EnVenta,Linea
003670,Geometría (Deza) EKAN,Deza/Editorial Kano SRL/-,21,26.25,8.75,35,33,,,0,076,Verdadero,155
003671,Geometría  - Ingenio c/CD EING,"Hernández, Hernán/Editorial Ingenio S.A./-",9,11.25,5.75,17,14,,,0,076,Verdadero,155
003672,Geometría - ALFA ERAC,-/Racso Editores/- 18/02/25,26,32.5,2.5,35,33,,,0,076,Verdadero,155
003673,Geometría - Curso Básico (Ubaldo) ESAM,"Ubaldo, Luis/Editorial San Marcos E.I.R.L./-",18.6,23.25,2.75,26,24,,,9789972383373,076,Verdadero,155
003674,Geometría - Fundamentos y Aplicaciones ERAC,-/Racso Editores/-,23,28.75,11.25,40,33,,,0,076,Verdadero,155
003675,Geometría - Practicando ESAM,-/Editorial San Marcos E.I.R.L./-,13,16.25,1.75,18,16,,,0,076,Verdadero,155
003676,Geometría - Problemas y Como Resolverlos ERAC,-/Racso Editores/-,21,26.25,13.75,40,25,,,0,076,Verdadero,155
003677,Geometría - Teoría (Quijano) EKAN,Quijano Hiyo/Editorial Kano SRL/-,21,26.25,8.75,35,33,,,0,076,Verdadero,155
003678,Geometría - Trigonometría Compendio Académico ELUM,Compendio Académico/Editorial Lumbreras/-,15.6,19.5,4.5,24,15,,,9786123079949,076,Verdadero,155
003679,Plumón Decorite 3.0 Biselado Básico -      Artline,-,2.86,3.57,0.93,4.5,0,0,0,0,009,Verdadero,098
003680,Geometría - Uniciencias (Alva) ESAM,"Alva, Fernando/Editorial San Marcos E.I.R.L./-",22.8,28.5,2.5,31,29,,,0,076,Verdadero,155
003681,Geometría - Uniciencias SAPIENS (Alva R) ESAM,"Alva, Rubén/Editorial San Marcos E.I.R.L./-",25.8,32.25,2.75,35,33,,,9786123152772,076,Verdadero,155
003682,Geometría 5to PRE ERAC,-/Racso Editores/-,17,21.25,18.75,40,22,,,0,076,Verdadero,155
003683,Geometría Analítica (Figueroa) ERFG,"Figueroa, Ricardo/Ediciones Ricardo Figueroa García/RUBIÑOS",12,15,5,20,15,,,0,076,Verdadero,155
003684,Geometría Analítica Mi Academia ESAM,Mi Academia/Editorial San Marcos E.I.R.L./Mi Academia,1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,155
003685,Plumón Decorite Punta Pincel -     Artline,Claridad 11/01/21,3.49,4.36,0.14,4.5,0,0,0,0,009,Verdadero,098
003686,Geometría Analítica (Deza) EKAN,Deza/Editorial Kano SRL/-,2.1,2.63,3.38,6,5,,,0,076,Verdadero,155
003687,Geometría Analítica LAFONTE EKAN,-/Editorial Kano SRL/Lafonte,6,7.5,4.5,12,10,,,0,076,Verdadero,155
003688,GEO - G. Analítica - Hipérbola # 17 ECUZ,Geometría 17/Editorial Cuzcano/-,4,5,1,6,5,,,.79,076,Verdadero,155
003689,GEO - G. Analítica - Parábola # 16 ECUZ,Geometría 16/Editorial Cuzcano/- 10/09/21,4,5,1,6,5,,,.78,076,Verdadero,155
003690,GEO - G. Analítica - Recta # 15 ECUZ,Geometría 15/Editorial Cuzcano/- 10/09/21,4,5,1,6,5,,,.77,076,Verdadero,155
003691,Geometría Analítica Moderna EWHE,-/Distribuidora Lopez G. E.I.R.L. - WH Editores/-,1.5,1.88,0.63,2.5,1.8,,,0,076,Verdadero,155
003692,Geometría Analítica Plana EESP,"Espinoza Ramos, Eduardo. ANGEL Verificar Precio",9,11.25,6.75,18,16,,,0,076,Verdadero,155
003693,Geometría Curso Teórico Práctico EMEG,Colección/Editorial Megabyte/-,21,26.25,3.75,30,28,,,0,076,Verdadero,155
003694,Geometría del Espacio (Huisa) ESAM,"Huisa, José/Editorial San Marcos E.I.R.L./-",5,6.25,1.75,8,7,,,0,076,Verdadero,155
003695,Geometría del Espacio (Ubaldo) EWHE,"Ubaldo, Luis/Distribuidora Lopez G. E.I.R.L. - WH Editores/-",1.8,2.25,0.75,3,2.3,,,0,076,Verdadero,155
003696,"Geometría del Espacio, Planos, Superficies, Sólidos Colección ELUM",Colección CC. HH./Editorial Lumbreras/- 11/01/23,28.6,35.75,8.25,44,42,,,9786123078768,076,Verdadero,155
003697,GEO - Geometría del Espacio I Temas Selectos ELUM,Temas Selectos GEOMETRIA/Editorial Lumbreras/-,5.2,6.5,1.5,8,7,,,9786123070946,076,Verdadero,155
003698,GEO - Geometría del Espacio Ubaldo I ECUZ,Geometría/Editorial Cuzcano/-,4.5,5.63,1.38,7,6,,,.89,076,Verdadero,155
003699,GEO - Geometría del Espacio Ubaldo II ECUZ,Geometría/Editorial Cuzcano/-,4.5,5.63,1.38,7,6,,,.90,076,Verdadero,155
003700,Plumón Punta Pincel Supreme -     Artline,-,2.82,3.52,0.98,4.5,0,,,0,009,Verdadero,098
003701,Plumón Punta Pincel Supreme PEN -      Artline,-,2.86,3.57,0.43,4,0,,,0,009,Verdadero,098
003702,Geometría Descriptiva - Método Espamir (Miranda),"Miranda, Alejandro/Sin Editorial/-",14,17.5,4.5,22,18,,,0,076,Verdadero,149
003703,Geometría en el Espacio Euclediano R3 (Lázaro) EMOS,"Lázaro Carrión, Moisés/Dist. Imp. Edit. Lib.Moshera S.R.L./-",12.5,15.63,2.38,18,16,,,9789972813481,076,Verdadero,155
003704,Geometría Enciclopedia (Rubiños) ERUB,"Rubiños Torres, Luis/Editorial Rubiños/- 14/12/23",32,40,5,45,43,,,0,076,Verdadero,155
003705,GEO - Geometría I (Deza) APPU ECUZ,Geometría/Editorial Cuzcano/-,12,15,3,18,15,,,0,076,Verdadero,155
003706,GEO - Geometría II (Deza) APPU ECUZ,Geometría/Editorial Cuzcano/-,12,15,3,18,15,,,0,076,Verdadero,155
003707,Geometría N/E (Santivañez),Santivañez/Sin Editorial/-,17,21.25,2.75,24,20,,,0,076,Verdadero,155
003708,"Geometría Plana, Fundamentos y Aplicaciones de las Figuras Bidimensionales Colección ELUM",Colección CC. HH./Editorial Lumbreras/- 16/12/23,28.6,35.75,8.25,44,42,,,9786123078775,076,Verdadero,155
003709,Geometría Plana (Huisa) ESAM,"Huisa, José/Editorial San Marcos E.I.R.L./-",10,12.5,2.5,15,12,,,0,076,Verdadero,155
003710,Geometría Plana y Curvas  # 14,-/-/-,1,1.25,0.75,2,1.2,,,0,076,Verdadero,155
003711,Geometría Problemas Selectos Mi Academia ESAM,Mi Academia/Editorial San Marcos E.I.R.L./Mi Academia,1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,155
003712,Geometría Superior ERUB,-/Editorial Rubiños/-,24,30,2,32,0,,,0,076,Verdadero,155
003713,Geometría Vectorial en R2 (Lázaro) EMOS,"Lázaro Carrión, Moshera 17/05/22",18,22.5,2.5,25,23,,,9789972813863,076,Verdadero,155
003714,Geometría Vectorial en R3 EESP,"Espinoza Ramos, Eduardo. ANGEL Verificar Precio",9,11.25,6.75,18,16,,,0,076,Verdadero,155
003715,RAZ - Razonamiento Geométrico # 15 ECUZ,Razonamiento Matemático 15/Editorial Cuzcano/-,5,6.25,1.75,8,7,,,.143,076,Verdadero,134
003716,Plumón Pizarra 123 Acrimax  -  Artesco,-,1.22,1.52,0.28,1.8,0,,,0,007,Verdadero,098
003717,Plumón 47 Granel -       Faber,-,2.26,2.82,0.18,3,0,0,0,0,018,Verdadero,098
003718,Gigante Egoísta ECPE,Ediciones Cultura Peruana - Colección 19/04/23,1.7,2.13,1.88,4,2.5,,,0,076,Verdadero,158
003719,Gigantes del Deporte Mundial BB ECPE,Biblioteca Básica/Ediciones Cultura Peruana/-,0.6,0.75,0.25,1,0.8,,,0,076,Verdadero,158
003720,Gimnasia,-/Egipto/-,0.7,0.87,0.63,1.5,1,,,0,076,Verdadero,145
003721,Gimnasia,-/Sin Editorial/-,0.5,0.63,0.38,1,0.8,,,0,076,Verdadero,145
003722,Gimnasia Para Todos EMER,-/Editorial Mercurio - Distrib. Rivera/-,5.27,6.59,1.41,8,6.5,,,0,076,Verdadero,145
003723,Gitanilla ESAN,"Cervantes Saavedra, Miguel/Ediciones San Santiago/TOLEDO",1.3,1.63,0.88,2.5,1.8,,,0,076,Verdadero,158
003724,Gitanilla ECPE,Ediciones Cultura Peruana - Colección,1,1.25,2.75,4,2.5,,,0,076,Verdadero,158
003725,Plumón Aquamax Jumbo 47 Granel -    Artesco,-,1.15,1.44,0.06,1.5,0,0,0,0,007,Verdadero,098
003726,Glosario de Etimologías (Paz Torres),Paz Torres Edmundo/-/-,0.7,0.87,0.63,1.5,1,,,0,076,Verdadero,150
003727,Glosario de Sinónimos (Paz Torres),Paz Torres Edmundo/-/-,0.7,0.87,0.63,1.5,1,,,0,076,Verdadero,150
003728,Lapicero Tinta Seca BPS -    Pilot,-,2.07,2.59,0.41,3,0,0,0,0,052,Verdadero,064
003729,FIS - Gráficas de Movimiento Mecánico # 05 (Tarazona) ECUZ,Física Tarazona 05/Editorial Cuzcano/- 10/09/21,5.5,6.88,1.13,8,7,,,.104,076,Verdadero,144
003730,Gramática Descriptiva y Funcional (Chaupin),Cáceres Chaupin/Chaupin/-,10,12.5,2.5,15,13,,,0,076,Verdadero,150
003731,Gramática Estructural (Chaupin),Cáceres Chaupin/Chaupin/-,5,6.25,0.75,7,6,,,0,076,Verdadero,150
003732,Gramática Estructural  y Transformacional (Alvarado) ESAM,"Alvarado, Arquímedes/Editorial San Marcos E.I.R.L./-",14.52,18.15,1.85,20,18,,,0,076,Verdadero,150
003733,Gramática Para Todos (Cabel),"Cabel Rabines, José/-/-",6,7.5,4.5,12,10,,,0,076,Verdadero,150
003734,Grandes Escritores de América ECPE,Ediciones Cultura Peruana - Otro,1.25,1.56,2.44,4,2.5,,,0,076,Verdadero,158
003735,FIS - Gravitación Universal - Sist. de Referencia # 09 (Tarazona) ECUZ,Física Tarazona 09/Editorial Cuzcano/- 10/09/21,5.5,6.88,1.13,8,7,,,.108,076,Verdadero,144
003736,Lapicero Tinta Seca BPS-GP -    Pilot,-,2.75,3.44,0.06,3.5,0,0,0,0,052,Verdadero,064
003737,Moldes Números Chicos,-,0.5,0.63,0.38,1,0,0,0,0,044,Verdadero,078
003738,Moldes Números Medianos,-,1,1.25,0.75,2,0,0,0,0,044,Verdadero,078
003739,Guerra de los Wiracochas (Vega),"Vega Bello, Juan José/-/GATO",2.3,2.87,1.63,4.5,3.5,,,0,076,Verdadero,158
003740,Fomi Letras en Bolsa Grandes,-,3.5,4.38,0.63,5,0,0,0,0,044,Verdadero,053
003741,Guerra y la Paz ECPE,Ediciones Cultura Peruana - Colección,1.5,1.88,3.13,5,4,,,0,076,Verdadero,158
003742,Guerra y la Paz EPO,-/Almen Editores - Colección Pluma de Oro/-,2.1,2.63,0.88,3.5,2.6,,,0,076,Verdadero,158
003743,Guerra y la Paz BE EDID,-/Editorial Didáctica/Biblioteca Escolar Básica,1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,158
003744,Guía de Calles Trujillo - Folleto (Lazo Torres),Lazo Torres/Sin Editorial/-,0.8,1,0.5,1.5,1.2,,,0,076,Verdadero,145
003745,Plano Turístico de Trujillo Parque,-/Sin Editorial/-,2.5,3.13,0.88,4,0,,,0,076,Verdadero,145
003746,Guía de Ciencias ERAC C/CD,-/Racso Editores/Con CD,13,16.25,13.75,30,17,,,0,076,Verdadero,134
003747,Guía del Abogado EMAN,Malatesta - Hernández/Editorial Mantaro/-,9,11.25,1.75,13,0,,,0,076,Verdadero,139
003748,Guía Metodológica Estadística ESAM,-/Editorial San Marcos E.I.R.L./-,7,8.75,1.25,10,9,,,0,076,Verdadero,142
003749,Plumón Aquamax Jumbo 47 Granel Amarillo Artesco,RyS 14/09/23,1.13,1.41,0.09,1.5,0,0,0,7750082007963,007,Verdadero,098
003750,Plumón Aquamax Jumbo 47 Granel Rosado Artesco,RyS 10/01/23,1.13,1.41,0.09,1.5,0,0,0,7750082008335,007,Verdadero,098
003751,Plumón Aquamax Jumbo 47 Granel Morado Artesco,RyS 26/01/23,1.13,1.41,0.09,1.5,0,0,0,7750082007987,007,Verdadero,098
003752,Guillermo Tell EFEN,-/Editorial Fénix/-,1,1.25,0.75,2,1.5,,,0,076,Verdadero,158
003753,Plumón Aquamax Jumbo 47 Granel Celeste Artesco,RyS 14/09/23,1.15,1.44,0.06,1.5,0,0,0,7750082008014,007,Verdadero,098
003754,Guitarra - 11 Lecciones EMER,-/Editorial Mercurio - Distrib. Rivera/-,1.5,1.88,1.13,3,2,,,0,076,Verdadero,145
003755,Guitarra - 20 Lecciones EMER,-/Editorial Mercurio - Distrib. Rivera/-,1.5,1.88,1.13,3,2,,,0,076,Verdadero,145
003756,Guitarra - Aprenda a Tocar Clásica y Eléctrica EMER,-/Editorial Mercurio - Distrib. Rivera/-,2.1,2.63,0.88,3.5,2.7,,,0,076,Verdadero,145
003757,Guitarra - Aprenda a Tocar Forma Fácil EMER,-/Editorial Mercurio - Distrib. Rivera/-,2.1,2.63,0.88,3.5,2.7,,,0,076,Verdadero,145
003758,Guitarra - Método Práctico EMER,-/Editorial Mercurio - Distrib. Rivera/-,1.5,1.88,1.13,3,2,,,0,076,Verdadero,145
003759,Guitarra - Sistema 10 Días EMER,-/Editorial Mercurio - Distrib. Rivera/-,1.5,1.88,1.13,3,2,,,0,076,Verdadero,145
003760,Habitó Entre Nosotros - Album de Familia #12 (Watanabe) EPAV,"Watanabe, José/Editorial Papel de Viento/-",3,3.75,3.25,7,5,,,0,076,Verdadero,158
003761,Plumón Aquamax Jumbo 47 Granel Marrón Artesco,RyS 11/03/22,1.15,1.44,0.06,1.5,0,0,0,7750082007994,007,Verdadero,098
003762,Plumón Aquamax Jumbo 47 Granel Naranja Artesco,RyS 14/09/23,1.15,1.44,0.06,1.5,0,0,0,7750082007970,007,Verdadero,098
003763,Papel Vinil Autoadhesivo Blanco A4 Arclad,Plg 70x100 = S/. 4.50  Tinko 09/03/21,0.5,0.63,0.38,1,80,0,0,0,044,Verdadero,086
003764,Lapicero Tinta Seca BPGP10RF Retráctil Super Grip Negro Pilot,Copy 05/03/22,3.5633,4.45,0.55,5,0,0,0,4902505154645,052,Verdadero,064
003765,Hamlet ECPE,Ediciones Cultura Peruana - Colección 21/11/23,1.6,2,2,4,2.5,,,0,076,Verdadero,158
003766,Hamlet BE EDID,-/Editorial Didáctica/Biblioteca Escolar Básica,1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,158
003767,Hamlet EPO,-/Almen Editores - Colección Pluma de Oro/-,1.5,1.88,0.63,2.5,1.8,,,0,076,Verdadero,158
003768,Lapicero Tinta Seca BPGP10RF Retráctil Super Grip Rojo Pilot,Copy 03/01/22,3.5633,4.45,0.55,5,0,0,0,4902505154652,052,Verdadero,064
003769,Tablero Triplay C/Manija A5 14.5x21.5 cm Besko,Ariesthef 27/08/21,2.67,3.34,0.66,4,0,,,0,044,Verdadero,117
003770,Tecnopor Esfera  Varios Tamaños,-,1.4,1.75,0.75,2.5,0,,,0,044,Verdadero,123
003771,Cartuchera,Malena - Buzios,7,8.75,1.25,10,0,0,0,0,044,Verdadero,016
003772,Perforador M01-11H Rojo Artesco,Ariesthef 14/04/21,4.5,5.63,1.38,7,0,0,0,7750082010178,007,Verdadero,089
003773,Plumón Resaltador Bicolor RE-620 - A/Amarillo Sabonis,Sabonis 14/08/24,1.25,1.56,0.44,2,0,,,0,057,Verdadero,098
003774,Plumón 45 x20 Caja Faber,Copy 20/12/23,13.75,17.19,0.81,18,0,0,0,7754111022194,018,Verdadero,098
003775,Plumón 45 x30 Caja Faber,Copy 20/12/23,20.88,26.1,-0.1,26,0,0,0,7754111022200,018,Verdadero,098
003776,Hebaristo El Sauce Que Murió De Amor ECPE,Ediciones Cultura Peruana - Colección,1.5,1.88,2.13,4,2.5,,,0,076,Verdadero,158
003777,Hebaristo el Sauce que Murió de Amor EAND,-/Andina Editores/-,1.2,1.5,1,2.5,1.8,,,0,076,Verdadero,158
003778,Heidi EFEN,-/Editorial Fénix/-,1,1.25,0.75,2,1.5,,,0,076,Verdadero,158
003779,Heidi ECPE,Ediciones Cultura Peruana - Colección,1,1.25,2.75,4,2.5,,,0,076,Verdadero,158
003780,Heraldos Negros EFEN,"Vallejo, César/Editorial Fénix/FENIX",1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,158
003781,Heraldos Negros (Vallejo) ECPE,"Vallejo, César - Ediciones Cultura Peruana - Colección 19/04/23",1.7,2.13,1.88,4,2.5,,,0,076,Verdadero,158
003782,Hércules - Folletos EPAL,-/Editora Palomino/-,1,1.25,0.75,2,1.5,,,0,076,Verdadero,145
003783,Hermanos Karamazov ECPE,Ediciones Cultura Peruana - Colección,1.5,1.88,3.13,5,4,,,0,076,Verdadero,158
003784,Lapicero Retráctil FB-599 4 en 1 0.7 mm Sabonis,Blanco Caja x12 Luis 20/05/21,1.5,1.88,0.63,2.5,0,0,0,7502277856227,057,Verdadero,064
003785,Chinche Mariposa x25 mm x100 Artesco,Ariesthef 31/05/23 Verificar Precio,4.17,5.21,-0.21,5,0,0,0,7750082038073,007,Verdadero,022
003786,Hidrostática # 7 N/E EIMP,"Custodio García, Andrés/Editorial Impecus/Física N/E  7",1.7,2.13,2.88,5,4,,,0,076,Verdadero,144
003787,FIS - Hidrostática # 14 (Vera) ECUZ,Física Vera 13/Editorial Cuzcano/- 10/09/21,5,6.25,1.75,8,7,,,.155,076,Verdadero,144
003788,Hipocampo De Oro ECPE,Ediciones Cultura Peruana - Colección 02/07/22,1.6,2,2,4,2.5,,,0,076,Verdadero,158
003789,Tijera Escolar Naranja Punta Roma Wing's,-,0.75,0.94,0.06,1,0,,,0,044,Verdadero,125
003790,Historia Compendio Académico ELUM,Compendio Académico/Editorial Lumbreras/- 17/06/21,11.05,13.81,3.19,17,15,,,9786123073473,076,Verdadero,147
003791,Historia Serie Ensayos ELUM,Serie Ensayos/Editorial Lumbreras/-,1.5,1.88,0.63,2.5,1.8,,,0,076,Verdadero,147
003792,Historia - Camelot,-/Sin Editorial/Camelot,6,7.5,2.5,10,8,,,0,076,Verdadero,147
003793,FIL - Historia de la Filosofía Temas Selectos ELUM,Temas Selectos FILOSOFIA/Editorial Lumbreras/-,5.2,6.5,1.5,8,7,,,9786123074197,076,Verdadero,143
003794,Historia de la Humanidad - Tomo I Colección ELUM,Colección CC. HH./Editorial Lumbreras/- 18/07/22,25.35,31.69,7.31,39,37,,,0,076,Verdadero,147
003795,Historia de la Humanidad - Tomo II Colección ELUM,Colección CC. HH./Editorial Lumbreras/- 16/12/23,25.35,31.69,7.31,39,37,,,9786034018228,076,Verdadero,147
003796,Historia de la Vida del Buscón ECPE,Ediciones Cultura Peruana - Colección,1,1.25,2.75,4,2.5,,,0,076,Verdadero,158
003797,Historia de un Cañoncito ETOL,-/Sin Editorial/TOLEDO,0.4,0.5,0.5,1,0.6,,,0,076,Verdadero,158
003798,"Cinta Strech Film 6"" Importado",caja x12 = 54 soles. Ariesthef 07/12/23,4.5,5.63,1.38,7,0,0,0,0,044,Verdadero,023
003799,Manga Plástica x2,Ariesthef 02/10/21,1,1.25,0.75,2,0,0,0,0,044,Verdadero,073
003800,Historia De Un Tambor ECPE,Ediciones Cultura Peruana - Colección,1,1.25,2.75,4,2.5,,,0,076,Verdadero,158
003801,Historia del Perú (Aguila) ESAM,"Aguila, Guido/Editorial San Marcos E.I.R.L./-",5.2,6.5,1,7.5,6.5,,,0,076,Verdadero,147
003802,Historia del Perú Mi Academia ESAM,Mi Academia/Editorial San Marcos E.I.R.L./Mi Academia,1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,147
003803,Historia del Perú EKAN,-/Editorial Kano SRL/-,1,1.25,0.75,2,1.2,,,0,076,Verdadero,147
003804,Historia del Perú I (Véliz),Véliz/Sin Editorial/-,0.5,0.63,0.38,1,0.7,,,0,076,Verdadero,147
003805,Historia del Perú II (Véliz),Véliz/Sin Editorial/-,0.5,0.63,0.38,1,0.7,,,0,076,Verdadero,147
003806,Historia del Perú Siglo XXI FE ESAM,Fondo Editorial/Editorial San Marcos E.I.R.L./-,3.72,4.65,1.35,6,5,,,0,076,Verdadero,147
003807,"Historia del Perú, Una Mirada Actual al Pasado Colección ELUM",Colección CC. HH./Editorial Lumbreras/- 16/12/23,27.3,34.13,7.88,42,40,,,9786123075729,076,Verdadero,147
003808,Lapicero Tinta Líquida c/borrador Erase It PRO - Azul Faber,Copy 28/09/21,2.505,3.13,-0.13,3,0,0,0,7754111024358,018,Verdadero,064
003809,Historia del Universal (Véliz),Véliz/Sin Editorial/-,0.5,0.63,0.38,1,0.7,,,0,076,Verdadero,147
003810,Historia Universal (Aguila) ESAM,"Aguila, Guido/Editorial San Marcos E.I.R.L./-",5,6.25,0.75,7,6,,,0,076,Verdadero,147
003811,Historia Universal Mi Academia ESAM,Mi Academia/Editorial San Marcos E.I.R.L./Mi Academia,1.2,1.5,0.5,2,1.5,,,0,076,Verdadero,147
003812,Historia Universal EKAN,-/Editorial Kano SRL/-,1,1.25,0.75,2,1.2,,,0,076,Verdadero,147
